id,type,href,ike_dist,price,land_area,house_area,BCR,FAR,nearest_station,station_dist,age,can_not_be_rebuilt
b-1062360004349,土地,https://www.homes.co.jp/tochi/b-1062360004349/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-1217180001227,土地,https://www.homes.co.jp/tochi/b-1217180001227/,38,2780,71.58,nan,60,200,朝霞,15,nan,False
b-1439660000102,中古一戸建て,https://www.homes.co.jp/kodate/b-1439660000102/,25,2800,29.78,58.28,nan,nan,上板橋,5,36,False
b-1252630008025,中古一戸建て,https://www.homes.co.jp/kodate/b-1252630008025/,25,2800,29.78,58.28,nan,nan,上板橋,5,36,False
b-1423180000083,土地,https://www.homes.co.jp/tochi/b-1423180000083/,30,2880,59.65,nan,60,200,成増,12,nan,False
b-1421770003150,土地,https://www.homes.co.jp/tochi/b-1421770003150/,30,2880,59.65,nan,60,200,成増,12,nan,False
b-1389720001184,土地,https://www.homes.co.jp/tochi/b-1389720001184/,35,2880,79.93,nan,40,80,ひばりヶ丘,12,nan,False
b-1445390000471,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000471/,15,2890,59.5,68.07,nan,nan,椎名町,6,57,True
b-1252630007690,中古一戸建て,https://www.homes.co.jp/kodate/b-1252630007690/,11,2890,59.5,68.07,nan,nan,椎名町,6,57,True
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920,60.30,nan,60,200,戸田公園,10,nan,False
b-1010870033404,中古一戸建て,https://www.homes.co.jp/kodate/b-1010870033404/,35,2980,100.04,110.29,nan,nan,ひばりヶ丘,12,28,False
b-1416580000025,中古一戸建て,https://www.homes.co.jp/kodate/b-1416580000025/,14,2980,47.8,43.79,nan,nan,大塚,5,92,True
b-1448700000144,土地,https://www.homes.co.jp/tochi/b-1448700000144/,30,2980,71.15,nan,40,80,保谷,7,nan,False
b-1373820000456,土地,https://www.homes.co.jp/tochi/b-1373820000456/,14,2980,32.53,nan,70,160,新大塚,5,nan,False
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990,44.74,nan,60,70,戸田公園,10,nan,False
b-35005460000524,中古一戸建て,https://www.homes.co.jp/kodate/b-35005460000524/,18,2990,46.83,48.7,nan,nan,千川,9,43,False
b-1260000000215,中古一戸建て,https://www.homes.co.jp/kodate/b-1260000000215/,19,3000,35.88,47.6,nan,nan,新板橋,6,57,False
b-1029300000956,中古一戸建て,https://www.homes.co.jp/kodate/b-1029300000956/,27,3000,140.92,98.31,nan,nan,地下鉄赤塚,9,60,True
b-1260000000214,土地,https://www.homes.co.jp/tochi/b-1260000000214/,19,3000,35.88,nan,80,240,新板橋,6,nan,False
b-17020970014451,土地,https://www.homes.co.jp/tochi/b-17020970014451/,39,3060,72.25,nan,60,160,北朝霞,12,nan,False
b-1278120007416,中古一戸建て,https://www.homes.co.jp/kodate/b-1278120007416/,30,3080,51.73,66.51,nan,nan,練馬高野台,8,55,False
b-17017120000328,新築一戸建て,https://www.homes.co.jp/kodate/b-17017120000328/,38,3150,55.34,96.93,60,200,ひばりヶ丘,15,nan,False
b-1040320010228,新築一戸建て,https://www.homes.co.jp/kodate/b-1040320010228/,34,3180,64.68,51.72,nan,nan,東久留米,6,,False
b-1395360000102,中古一戸建て,https://www.homes.co.jp/kodate/b-1395360000102/,22,3180,56.85,62.93,nan,nan,北赤羽,5,22,False
b-88120000585,土地,https://www.homes.co.jp/tochi/b-88120000585/,37,3180,90.09,nan,60,180,下赤塚,15,nan,False
b-1445700000115,土地,https://www.homes.co.jp/tochi/b-1445700000115/,21,3180,40.04,nan,80,300,北赤羽,4,nan,False
b-1193340007916,土地,https://www.homes.co.jp/tochi/b-1193340007916/,19,3190,31.14,nan,80,300,駒込,9,nan,False
b-1445460000102,土地,https://www.homes.co.jp/tochi/b-1445460000102/,29,3200,43.03,nan,50,100,地下鉄赤塚,11,nan,False
b-1425230001222,土地,https://www.homes.co.jp/tochi/b-1425230001222/,29,3200,30.11,nan,80,500,仲御徒町,4,nan,False
b-37091310000169,中古一戸建て,https://www.homes.co.jp/kodate/b-37091310000169/,33,3230,66,86.93,nan,nan,北戸田,7,26,False
b-17069060005780,土地,https://www.homes.co.jp/tochi/b-17069060005780/,33,3240,61.07,nan,60,168,朝霞,10,nan,False
b-17074110000070,土地,https://www.homes.co.jp/tochi/b-17074110000070/,33,3240,61.07,nan,60,200,朝霞,10,nan,False
b-1013560021194,土地,https://www.homes.co.jp/tochi/b-1013560021194/,33,3240,61.07,nan,60,200,朝霞,10,nan,False
b-1191550004742,土地,https://www.homes.co.jp/tochi/b-1191550004742/,27,3242,53.84,nan,60,150,赤羽,12,nan,False
b-1222100008331,新築一戸建て,https://www.homes.co.jp/kodate/b-1222100008331/,36,3280,53.79,80.1,nan,nan,朝霞台,4,,False
b-35005460000597,中古一戸建て,https://www.homes.co.jp/kodate/b-35005460000597/,35,3280,46.66,70.63,nan,nan,地下鉄成増,15,12,False
b-1387100000092,土地,https://www.homes.co.jp/tochi/b-1387100000092/,33,3280,30.79,nan,80,360,秋葉原,5,nan,False
b-17077270000040,土地,https://www.homes.co.jp/tochi/b-17077270000040/,34,3390,71.97,nan,50,100,ひばりヶ丘,11,nan,False
b-1243260007945,土地,https://www.homes.co.jp/tochi/b-1243260007945/,23,3390,41.98,nan,60,150,上中里,7,nan,False
b-1278120006676,中古一戸建て,https://www.homes.co.jp/kodate/b-1278120006676/,26,3400,69.85,94.23,nan,nan,平和台,11,40,False
b-1444120000176,中古一戸建て,https://www.homes.co.jp/kodate/b-1444120000176/,39,3470,60.04,85.27,nan,nan,中浦和,8,6,False
b-17007910000321,新築一戸建て,https://www.homes.co.jp/kodate/b-17007910000321/,37,3480,40.21,64.02,70,160,東武練馬,15,nan,False
b-17007910000312,土地,https://www.homes.co.jp/tochi/b-17007910000312/,32,3480,85,nan,60,160,上板橋,12,nan,False
b-1421770003720,新築一戸建て,https://www.homes.co.jp/kodate/b-1421770003720/,37,3480,40.21,64.02,nan,nan,東武練馬,15,,False
b-1242120001094,新築一戸建て,https://www.homes.co.jp/kodate/b-1242120001094/,39,3480,58.07,91.85,nan,nan,みずほ台,6,,False
b-1000980064203,土地,https://www.homes.co.jp/tochi/b-1000980064203/,38,3480,110.02,nan,40,80,保谷,15,nan,False
b-1389130002347,土地,https://www.homes.co.jp/tochi/b-1389130002347/,38,3480,103.08,nan,60,100,朝霞,15,nan,False
b-1175550010347,土地,https://www.homes.co.jp/tochi/b-1175550010347/,38,3480,103.08,nan,60,100,朝霞,15,nan,False
b-1194040219184,土地,https://www.homes.co.jp/tochi/b-1194040219184/,38,3480,103.08,nan,60,100,朝霞,15,nan,False
b-1013560021135,土地,https://www.homes.co.jp/tochi/b-1013560021135/,38,3480,103.08,nan,60,100,朝霞,15,nan,False
b-1392850000605,中古一戸建て,https://www.homes.co.jp/kodate/b-1392850000605/,36,3500,59.98,103.08,nan,nan,東武練馬,14,21,False
b-1427200000068,中古一戸建て,https://www.homes.co.jp/kodate/b-1427200000068/,7,3500,31.4,45.9,nan,nan,池袋,7,47,False
b-1427200000067,土地,https://www.homes.co.jp/tochi/b-1427200000067/,7,3500,31.4,nan,80,400,池袋,7,nan,False
b-1198450008382,中古一戸建て,https://www.homes.co.jp/kodate/b-1198450008382/,38,3550,85.09,92.53,nan,nan,吉祥寺,5,24,False
b-1336600001900,中古一戸建て,https://www.homes.co.jp/kodate/b-1336600001900/,28,3580,48.21,87.35,nan,nan,地下鉄成増,8,21,False
b-1318040004453,中古一戸建て,https://www.homes.co.jp/kodate/b-1318040004453/,28,3580,48.21,87.35,nan,nan,地下鉄成増,8,21,False
b-1243260007912,土地,https://www.homes.co.jp/tochi/b-1243260007912/,28,3580,90.96,nan,50,100,地下鉄赤塚,10,nan,False
b-1225480000687,中古一戸建て,https://www.homes.co.jp/kodate/b-1225480000687/,29,3600,91.82,103.16,nan,nan,浮間舟渡,10,35,False
b-1342720022770,新築一戸建て,https://www.homes.co.jp/kodate/b-1342720022770/,40,3660,126.96,99.77,nan,nan,狭山ヶ丘,3,,False
b-17062460000121,土地,https://www.homes.co.jp/tochi/b-17062460000121/,25,3680,49.16,nan,80,300,地下鉄赤塚,7,nan,False
b-1370090000222,中古一戸建て,https://www.homes.co.jp/kodate/b-1370090000222/,16,3680,47.73,47.79,nan,nan,茗荷谷,5,61,False
b-1318030005749,中古一戸建て,https://www.homes.co.jp/kodate/b-1318030005749/,16,3680,47.73,47.79,nan,nan,茗荷谷,5,61,False
b-1000980064198,土地,https://www.homes.co.jp/tochi/b-1000980064198/,38,3680,116.9,nan,40,80,保谷,15,nan,False
b-1336600001866,土地,https://www.homes.co.jp/tochi/b-1336600001866/,25,3680,49.16,nan,80,300,地下鉄赤塚,7,nan,False
b-1448700000147,土地,https://www.homes.co.jp/tochi/b-1448700000147/,33,3680,118.64,nan,40,80,ひばりヶ丘,10,nan,False
b-1000980063003,土地,https://www.homes.co.jp/tochi/b-1000980063003/,38,3680,100.01,nan,60,200,所沢,8,nan,False
b-88550014284,土地,https://www.homes.co.jp/tochi/b-88550014284/,39,3680,142.74,nan,50,100,清瀬,9,nan,False
b-90640000165,土地,https://www.homes.co.jp/tochi/b-90640000165/,39,3680,142.74,nan,50,100,清瀬,9,nan,False
b-88580016298,土地,https://www.homes.co.jp/tochi/b-88580016298/,39,3680,142.74,nan,50,100,清瀬,9,nan,False
b-1074240033642,土地,https://www.homes.co.jp/tochi/b-1074240033642/,39,3680,142.74,nan,50,100,清瀬,9,nan,False
b-89280011737,土地,https://www.homes.co.jp/tochi/b-89280011737/,39,3680,142.74,nan,50,100,清瀬,9,nan,False
b-1194040147381,土地,https://www.homes.co.jp/tochi/b-1194040147381/,39,3680,142.74,nan,50,100,清瀬,9,nan,False
b-1000980064482,土地,https://www.homes.co.jp/tochi/b-1000980064482/,39,3680,142.74,nan,50,100,清瀬,9,nan,False
b-1342720013180,土地,https://www.homes.co.jp/tochi/b-1342720013180/,39,3680,142.74,nan,50,100,清瀬,9,nan,False
b-37051720001994,中古一戸建て,https://www.homes.co.jp/kodate/b-37051720001994/,40,3700,57.72,79.48,nan,nan,鶴瀬,5,5,False
b-1443180000005,中古一戸建て,https://www.homes.co.jp/kodate/b-1443180000005/,11,3700,30.35,44.54,nan,nan,北池袋,10,19,False
b-89340000871,土地,https://www.homes.co.jp/tochi/b-89340000871/,20,3700,50.98,nan,80,240,新庚申塚,1,nan,False
b-17002960000466,新築一戸建て,https://www.homes.co.jp/kodate/b-17002960000466/,37,3780,66.00,106.14,60,200,ひばりヶ丘,14,nan,False
b-1191550004745,中古一戸建て,https://www.homes.co.jp/kodate/b-1191550004745/,29,3780,39.25,62.49,nan,nan,地下鉄成増,9,8,False
b-1062360004395,新築一戸建て,https://www.homes.co.jp/kodate/b-1062360004395/,37,3780,66,106.14,nan,nan,ひばりヶ丘,14,,False
b-1217180001252,新築一戸建て,https://www.homes.co.jp/kodate/b-1217180001252/,37,3780,66,106.14,nan,nan,ひばりヶ丘,14,,False
b-1309740000431,中古一戸建て,https://www.homes.co.jp/kodate/b-1309740000431/,34,3780,65.51,91.49,nan,nan,東武練馬,12,17,False
b-1309740000411,中古一戸建て,https://www.homes.co.jp/kodate/b-1309740000411/,30,3780,47.93,109.95,nan,nan,成増,12,28,False
b-1388540002796,土地,https://www.homes.co.jp/tochi/b-1388540002796/,26,3800,97.88,nan,60,200,小竹向原,14,nan,False
b-1388540004589,中古一戸建て,https://www.homes.co.jp/kodate/b-1388540004589/,9,3880,33.31,38.34,nan,nan,要町,1,41,False
b-1252630007898,中古一戸建て,https://www.homes.co.jp/kodate/b-1252630007898/,9,3880,33.31,38.34,nan,nan,要町,1,41,True
b-90640000339,中古一戸建て,https://www.homes.co.jp/kodate/b-90640000339/,39,3880,126.32,75.76,nan,nan,東久留米,11,38,False
b-1271630001758,土地,https://www.homes.co.jp/tochi/b-1271630001758/,33,3880,172,nan,60,100,和光市,12,nan,False
b-8110129417,中古一戸建て,https://www.homes.co.jp/kodate/b-8110129417/,38,3890,51.4,79.14,nan,nan,中浦和,7,11,False
b-1266060028767,中古一戸建て,https://www.homes.co.jp/kodate/b-1266060028767/,38,3890,51.4,79.14,nan,nan,中浦和,7,11,False
b-1441380000070,中古一戸建て,https://www.homes.co.jp/kodate/b-1441380000070/,38,3940,51.4,79.14,nan,nan,中浦和,7,11,False
b-17020970014777,新築一戸建て,https://www.homes.co.jp/kodate/b-17020970014777/,37,3980,49.01,72.75,50,150,保谷,14,nan,False
b-17075400000015,土地,https://www.homes.co.jp/tochi/b-17075400000015/,40,3980,208.64,nan,60,200,西所沢,7,nan,False
b-1231900022813,新築一戸建て,https://www.homes.co.jp/kodate/b-1231900022813/,23,3980,56.64,63.04,nan,nan,中板橋,8,,False
b-1229390001946,新築一戸建て,https://www.homes.co.jp/kodate/b-1229390001946/,28,3980,40.51,64.57,nan,nan,浮間舟渡,9,,False
b-1243260007902,新築一戸建て,https://www.homes.co.jp/kodate/b-1243260007902/,38,3980,80.88,64.69,nan,nan,東久留米,10,,False
b-1227020029076,中古一戸建て,https://www.homes.co.jp/kodate/b-1227020029076/,40,3980,66.12,113.02,nan,nan,鶴瀬,5,3,False
b-1041390012044,土地,https://www.homes.co.jp/tochi/b-1041390012044/,32,3980,102,nan,80,300,戸田公園,10,nan,False
b-1318040004042,土地,https://www.homes.co.jp/tochi/b-1318040004042/,33,3980,149.44,nan,60,200,成増,15,nan,False
b-1074240052711,土地,https://www.homes.co.jp/tochi/b-1074240052711/,33,3980,149.44,nan,60,200,成増,15,nan,False
b-8410106658,土地,https://www.homes.co.jp/tochi/b-8410106658/,33,3980,149.44,nan,60,200,成増,15,nan,False
b-1251460060966,土地,https://www.homes.co.jp/tochi/b-1251460060966/,33,3980,149.44,nan,60,200,成増,15,nan,False
b-1251240061244,土地,https://www.homes.co.jp/tochi/b-1251240061244/,33,3980,149.44,nan,60,200,成増,15,nan,False
b-1336600001511,土地,https://www.homes.co.jp/tochi/b-1336600001511/,33,3980,149.44,nan,60,200,成増,15,nan,False
b-1342720015622,土地,https://www.homes.co.jp/tochi/b-1342720015622/,33,3980,149.44,nan,60,200,成増,15,nan,False
b-1062360003979,土地,https://www.homes.co.jp/tochi/b-1062360003979/,33,3980,149.44,nan,60,200,地下鉄成増,14,nan,False
b-1172930002390,土地,https://www.homes.co.jp/tochi/b-1172930002390/,33,3980,149.44,nan,60,200,成増,15,nan,False
b-1194040195677,土地,https://www.homes.co.jp/tochi/b-1194040195677/,33,3980,149.44,nan,60,200,成増,15,nan,False
b-1040260008085,土地,https://www.homes.co.jp/tochi/b-1040260008085/,33,3980,149.44,nan,60,200,成増,15,nan,False
b-1080060004262,新築一戸建て,https://www.homes.co.jp/kodate/b-1080060004262/,27,3990,45.36,56.27,nan,nan,地下鉄赤塚,9,,False
b-83520001939,新築一戸建て,https://www.homes.co.jp/kodate/b-83520001939/,27,3990,41.52,73.88,nan,nan,朝霞,4,,False
b-1000980063789,中古一戸建て,https://www.homes.co.jp/kodate/b-1000980063789/,40,3990,115.19,88.91,nan,nan,東久留米,12,8,False
b-17008150000209,土地,https://www.homes.co.jp/tochi/b-17008150000209/,33,4110,82.83,nan,60,200,下赤塚,15,nan,False
b-17017120000321,新築一戸建て,https://www.homes.co.jp/kodate/b-17017120000321/,38,4180,110.09,86.26,40,80,東久留米,13,nan,False
b-1445460000042,新築一戸建て,https://www.homes.co.jp/kodate/b-1445460000042/,26,4180,43.61,77.79,nan,nan,北赤羽,9,,False
b-1418210000993,中古一戸建て,https://www.homes.co.jp/kodate/b-1418210000993/,37,4180,156.97,89.84,nan,nan,東武練馬,15,15,False
b-90640000328,新築一戸建て,https://www.homes.co.jp/kodate/b-90640000328/,37,4180,110.09,86.26,nan,nan,東久留米,13,,False
b-1080060004242,中古一戸建て,https://www.homes.co.jp/kodate/b-1080060004242/,31,4180,58.91,95.76,nan,nan,上板橋,11,18,False
b-1391690000283,中古一戸建て,https://www.homes.co.jp/kodate/b-1391690000283/,31,4180,58.91,85.48,nan,nan,上板橋,11,18,False
b-1062360004364,中古一戸建て,https://www.homes.co.jp/kodate/b-1062360004364/,29,4180,66.13,107.64,nan,nan,朝霞,6,23,False
b-1388540004396,中古一戸建て,https://www.homes.co.jp/kodate/b-1388540004396/,5,4180,31.2,47.9,nan,nan,池袋,5,49,False
b-60000330213499,土地,https://www.homes.co.jp/tochi/b-60000330213499/,5,4180,31.2,nan,60,160,池袋,5,nan,False
b-17017120000337,新築一戸建て,https://www.homes.co.jp/kodate/b-17017120000337/,40,4190,163.67,95.64,40,80,東久留米,12,nan,False
b-90640000499,新築一戸建て,https://www.homes.co.jp/kodate/b-90640000499/,40,4190,163.67,95.64,nan,nan,武蔵小金井,5,,False
b-1421770003674,新築一戸建て,https://www.homes.co.jp/kodate/b-1421770003674/,34,4190,88.41,70.38,nan,nan,ひばりヶ丘,11,,False
b-1373820000459,土地,https://www.homes.co.jp/tochi/b-1373820000459/,22,4190,50.45,nan,70,160,千川,12,nan,False
b-1379290001076,土地,https://www.homes.co.jp/tochi/b-1379290001076/,30,4190,53.28,nan,60,200,新江古田,8,nan,False
b-74620000442,土地,https://www.homes.co.jp/tochi/b-74620000442/,24,4200,121.14,nan,60,200,新板橋,9,nan,False
b-1120410013771,土地,https://www.homes.co.jp/tochi/b-1120410013771/,26,4200,98.49,nan,80,400,保谷,3,nan,False
b-90640000166,土地,https://www.homes.co.jp/tochi/b-90640000166/,39,4200,131.69,nan,50,100,清瀬,9,nan,False
b-88550014285,土地,https://www.homes.co.jp/tochi/b-88550014285/,39,4200,131.69,nan,50,100,清瀬,9,nan,False
b-88580016299,土地,https://www.homes.co.jp/tochi/b-88580016299/,39,4200,131.69,nan,50,100,清瀬,9,nan,False
b-1074240033641,土地,https://www.homes.co.jp/tochi/b-1074240033641/,39,4200,131.69,nan,50,100,清瀬,9,nan,False
b-89280011738,土地,https://www.homes.co.jp/tochi/b-89280011738/,39,4200,131.69,nan,50,100,清瀬,9,nan,False
b-1194040147380,土地,https://www.homes.co.jp/tochi/b-1194040147380/,39,4200,131.69,nan,50,100,清瀬,9,nan,False
b-1000980064483,土地,https://www.homes.co.jp/tochi/b-1000980064483/,39,4200,131.69,nan,50,100,清瀬,9,nan,False
b-1342720013181,土地,https://www.homes.co.jp/tochi/b-1342720013181/,39,4200,131.69,nan,50,100,清瀬,9,nan,False
b-17019050000394,土地,https://www.homes.co.jp/tochi/b-17019050000394/,31,4230,118.01,nan,40,80,ひばりヶ丘,8,nan,False
b-1303360011108,土地,https://www.homes.co.jp/tochi/b-1303360011108/,31,4230,118.01,nan,40,80,ひばりヶ丘,8,nan,False
